author,genre,image_url,price,rating,reviews_count,title
Stan Lee,Comics & Graphic Novels,https://m.media-amazon.com/images/I/91clirgAUJL._AC_UY218_.jpg,"2,368.",4.0,2,Marvel: August 1961
Alan Gratz,Comics & Graphic Novels,https://m.media-amazon.com/images/I/81+ZyyzpWIL._AC_UY218_.jpg,374,4.5,232,CAPTAIN AMERICA: THE GHOST ARMY (ORIGINAL GRAPHIC NOVEL)
Ruskin Bond,Comics & Graphic Novels,https://m.media-amazon.com/images/I/8110OQf25yL._AC_UY218_.jpg,215,4.3,18,Stories From My Heart: A Comic Book
J.R.R. Tolkien,Comics & Graphic Novels,https://m.media-amazon.com/images/I/810+yJB3q5L._AC_UY218_.jpg,597,4.7,574,Hobbit - Graphic Novel
Mary Pope Osborne,Comics & Graphic Novels,https://m.media-amazon.com/images/I/91bJaX4xXRL._AC_UY218_.jpg,410,4.8,269,Night of the Ninjas Graphic Novel
Tui T. Sutherland,Comics & Graphic Novels,https://m.media-amazon.com/images/I/81crmqjapYL._AC_UY218_.jpg,410,4.8,"1,594",Wings Of Fire Graphic Novel #08: Escaping Peril (Graphix)
Jennifer Dugan,Comics & Graphic Novels,https://m.media-amazon.com/images/I/915Krvc9qxL._AC_UY218_.jpg,368.,4.4,36,Full Shift: A Graphic Novel
Geronimo Stilton,Comics & Graphic Novels,https://m.media-amazon.com/images/I/81gcGhhW-1L._AC_UY218_.jpg,418,4.7,309,GERONIMO STILTON GRAPHIC NOVEL #1: THE SEWER RAT STINK
Gulzar,Poetry,https://m.media-amazon.com/images/I/81V8GnD8GmL._AC_UY218_.jpg,176,4.4,"1,301",Selected Poems (PB): Gulzar
"Azima Melita Kolin Rumi, Maryam Mafi",Poetry,https://m.media-amazon.com/images/I/91MQXjr0mcL._AC_UY218_.jpg,239,4.5,"2,455","Rumi's Little Book of Life: The Garden of the Soul, the Heart, and the Spirit"
Swati Sani,Poetry,https://m.media-amazon.com/images/I/71S4NqOSvVL._AC_UY218_.jpg,635,4.3,48,"Ghalib, Meer & Sahir Poetry Books (Combo Set) Swati Sani"
by,Poetry,https://m.media-amazon.com/images/I/61xjURomnxL._AC_UY218_.jpg,214,4.4,474,Greatest Poetry Ever Written
Writer's Pocket,Poetry,https://m.media-amazon.com/images/I/71vzscWlJWL._AC_UY218_.jpg,166,,,Poetry book Whispers Of The Past
Hitesh Gupta Aadil,Poetry,https://m.media-amazon.com/images/I/813WFGVJUPL._AC_UY218_.jpg,320,4.6,184,HUMSAFAR : The World of Urdu Poetry by Hitesh Gupta Aadil
